OBJECTID,CIVIC_ADDR,STREET_NM,WARD,DISTRICT,LATITUDE,LONGITUDE
59,659 PRINCE EDWARD CRT,PRINCE EDWARD CRT,4,Eastbridge,43.507447036,-80.49993175
60,305 HIAWATHA DR,HIAWATHA DR,6,Beechwood,43.46176882,-80.549698414
61,651 PRINCE EDWARD CRT,PRINCE EDWARD CRT,4,Eastbridge,43.5076178030001,-80.499839042
62,575 BONAVISTA DR,BONAVISTA DR,4,Eastbridge,43.5077789440001,-80.499707445
63,139 BRIGHTON ST 6B,BRIGHTON ST,7,Central,43.471003997,-80.519512073
64,139 BRIGHTON ST 6C,BRIGHTON ST,7,Central,43.4709904470001,-80.51963925
65,139 BRIGHTON ST 7B,BRIGHTON ST,7,Central,43.470905314,-80.519487993
66,139 BRIGHTON ST 7D,BRIGHTON ST,7,Central,43.470932013,-80.519617615
67,619 YARMOUTH DR,YARMOUTH DR,4,Eastbridge,43.5096635800001,-80.4991413509999
68,621 YARMOUTH DR,YARMOUTH DR,4,Eastbridge,43.509655115,-80.498997418
69,504 MUSTANG PL,MUSTANG PL,5,Lexington,43.4990594970001,-80.493637997
70,655 PRINCE EDWARD CRT,PRINCE EDWARD CRT,4,Eastbridge,43.507535573,-80.4998960089999
71,563 BONAVISTA DR,BONAVISTA DR,4,Eastbridge,43.5078048870001,-80.500060176
72,139 BRIGHTON ST 7C,BRIGHTON ST,7,Central,43.470887696,-80.519604153
73,555 BONAVISTA DR,BONAVISTA DR,4,Eastbridge,43.5078151370001,-80.500283017
74,551 BONAVISTA DR,BONAVISTA DR,4,Eastbridge,43.5078231460001,-80.500426207
75,481 MOORING POST LANE,MOORING POST LANE,4,Eastbridge,43.5075440150001,-80.5079433769999
76,546 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.4582160240001,-80.573700888
77,548 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.4582211760001,-80.5739235949999
78,550 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.458177193,-80.5741784149999
79,552 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.4581042780001,-80.574401423
80,515 MOUNTBATTEN AVE,MOUNTBATTEN AVE,1,Beechwood West,43.4575313810001,-80.573786414
81,511 MOUNTBATTEN AVE,MOUNTBATTEN AVE,1,Beechwood West,43.4574664100001,-80.574014555
82,709 STAR FLOWER AVE,STAR FLOWER AVE,2,Columbia Hills,43.4652722450001,-80.5881088369999
83,508 MUSTANG PL,MUSTANG PL,5,Lexington,43.499028206,-80.49350566
84,736 BUTTERNUT AVE,BUTTERNUT AVE,2,Columbia Hills,43.4665130980001,-80.588017908
85,570 ROCK POINT CRES,ROCK POINT CRES,3,Conservation Meadows,43.4937908360001,-80.576872753
86,566 ROCK POINT CRES,ROCK POINT CRES,3,Conservation Meadows,43.4938961830001,-80.576993844
87,330 PASTERN TRAIL,PASTERN TRAIL,5,Lexington,43.493065265,-80.4912473799999
88,692 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4638111040001,-80.5877011219999
89,676 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4639780410001,-80.587250997
90,598 SILVERBIRCH RD,SILVERBIRCH RD,3,Lakeshore,43.4948123660001,-80.549061018
91,722 GLEN FORREST BLVD,GLEN FORREST BLVD,3,Lakeshore,43.49374125,-80.54883146
92,569 GLEN MANOR BLVD,GLEN MANOR BLVD,3,Lakeshore,43.4907552810001,-80.55313403
93,571 GLEN MANOR BLVD,GLEN MANOR BLVD,3,Lakeshore,43.4909175560001,-80.553169951
94,573 GLEN MANOR BLVD,GLEN MANOR BLVD,3,Lakeshore,43.4910795970001,-80.553168757
95,577 GLEN MANOR BLVD,GLEN MANOR BLVD,3,Lakeshore,43.4914304340001,-80.553079591
96,579 GLEN MANOR BLVD,GLEN MANOR BLVD,3,Lakeshore,43.491610575,-80.553103043
97,446 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5051215170001,-80.502804939
98,255 NORTHLAKE DR 22,NORTHLAKE DR,3,Lakeshore North,43.4975571790001,-80.551456081
99,255 NORTHLAKE DR 23,NORTHLAKE DR,3,Lakeshore North,43.4976037180001,-80.551483073
100,672 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.464018202,-80.587126855
101,468 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5041226320001,-80.503914833
102,466 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.50421535,-80.503742745
103,462 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5043518360001,-80.503469109
104,456 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5045704620001,-80.503241434
105,454 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5046918520001,-80.503161392
106,448 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5050158610001,-80.5029208509999
107,444 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5052199960001,-80.502674487
108,309 HIAWATHA DR,HIAWATHA DR,6,Beechwood,43.4615901440001,-80.550070568
109,175 TENNYSON PL,TENNYSON PL,6,Beechwood,43.4664083420001,-80.547961782
110,640 BLACK FOREST PL,BLACK FOREST PL,3,Lakeshore North,43.50333419,-80.556939159
111,572 CANEWOOD CRES,CANEWOOD CRES,3,Lakeshore,43.4850395830001,-80.555180918
112,574 CANEWOOD CRES,CANEWOOD CRES,3,Lakeshore,43.4851481310001,-80.55529137
113,576 CANEWOOD CRES,CANEWOOD CRES,3,Lakeshore,43.4852656410001,-80.555414202
114,555 CANEWOOD CRES,CANEWOOD CRES,3,Lakeshore,43.483706693,-80.5548616459999
115,559 CANEWOOD CRES,CANEWOOD CRES,3,Lakeshore,43.4839052660001,-80.554971537
116,561 CANEWOOD CRES,CANEWOOD CRES,3,Lakeshore,43.48401363,-80.5550573099999
117,424 CLAIRBROOK CRES,CLAIRBROOK CRES,6,Beechwood,43.4659387660001,-80.56383873
118,426 CLAIRBROOK CRES,CLAIRBROOK CRES,6,Beechwood,43.4657584380001,-80.563765812
119,428 CLAIRBROOK CRES,CLAIRBROOK CRES,6,Beechwood,43.465622985,-80.5636802449999
120,447 STILLMEADOW CIR,STILLMEADOW CIR,6,Beechwood,43.468276657,-80.5633745929999
121,4 WILLOW ST 502,WILLOW ST,7,Central,43.4654748570001,-80.5168788089999
122,4 WILLOW ST 501,WILLOW ST,7,Central,43.4654748570001,-80.5168788089999
123,4 WILLOW ST 407,WILLOW ST,7,Central,43.4654748570001,-80.5168788089999
124,4 WILLOW ST 406,WILLOW ST,7,Central,43.4654748570001,-80.5168788089999
125,239 FERN CRES,FERN CRES,3,Lakeshore North,43.4984991000001,-80.5561422609999
126,241 FERN CRES,FERN CRES,3,Lakeshore North,43.498610566,-80.556369309
127,243 FERN CRES,FERN CRES,3,Lakeshore North,43.4986174090001,-80.556633108
128,245 FERN CRES,FERN CRES,3,Lakeshore North,43.498609392,-80.5568170559999
129,70 WILLIAM ST W,WILLIAM ST W,7,Central,43.459199782,-80.5245046209999
130,255 NORTHLAKE DR 24,NORTHLAKE DR,3,Lakeshore North,43.497650305,-80.551522214
131,619 WHITE ELM BLVD,WHITE ELM BLVD,2,Columbia Hills,43.465691785,-80.586787737
132,628 WHITE ELM BLVD,WHITE ELM BLVD,2,Columbia Hills,43.4659153870001,-80.587467634
133,636 WHITE ELM BLVD,WHITE ELM BLVD,2,Columbia Hills,43.4658652580001,-80.587674428
134,550 WOOLGRASS AVE,WOOLGRASS AVE,2,Columbia Hills,43.471388317,-80.601628671
135,708 BREAKWATER CRES,BREAKWATER CRES,4,Eastbridge,43.5130405900001,-80.5127582599999
136,710 BREAKWATER CRES,BREAKWATER CRES,4,Eastbridge,43.5129888910001,-80.512857836
137,714 BREAKWATER CRES,BREAKWATER CRES,4,Eastbridge,43.512869542,-80.5130764
138,726 CEDAR BEND DR,CEDAR BEND DR,2,Laurelwood,43.474882221,-80.589331868
139,728 CEDAR BEND DR,CEDAR BEND DR,2,Laurelwood,43.4749893970001,-80.589450241
140,539 WATERTON CRT,WATERTON CRT,3,Conservation Meadows,43.4924323540001,-80.5792633029999
141,553 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.492152032,-80.579038176
142,557 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.492049384,-80.5789405639999
143,561 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.4919314360001,-80.5788451619999
144,565 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.491779819,-80.5787514789999
145,569 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.4916458440001,-80.578656189
146,573 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.491532701,-80.578569536
147,577 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.491414182,-80.5784657299999
148,556 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.492295701,-80.5783186049999
149,548 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.492492037,-80.578550126
150,544 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.4925877310001,-80.5786417259999
151,540 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.4926847560001,-80.578752981
152,536 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.492793228,-80.578842389
153,528 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.4929948600001,-80.5790453079999
154,524 WATERTON DR,WATERTON DR,3,Conservation Meadows,43.4930844530001,-80.579118646
155,419 LAKE LOUISE BLVD,LAKE LOUISE BLVD,3,Conservation Meadows,43.493219427,-80.579362967
156,411 LAKE LOUISE BLVD,LAKE LOUISE BLVD,3,Conservation Meadows,43.4933229540001,-80.579014211
157,642 ROCK POINT CRES,ROCK POINT CRES,3,Conservation Meadows,43.4932249460001,-80.578587947
158,634 ROCK POINT CRES,ROCK POINT CRES,3,Conservation Meadows,43.4930009490001,-80.578449499
159,522 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.45781851,-80.571155866
160,648 WHITE ELM BLVD,WHITE ELM BLVD,2,Columbia Hills,43.4657611810001,-80.587977892
161,652 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4642847010001,-80.58647089
162,643 BUTTERNUT AVE,BUTTERNUT AVE,2,Columbia Hills,43.4644864420001,-80.586514799
163,562 ROCK POINT CRES,ROCK POINT CRES,3,Conservation Meadows,43.494020177,-80.577043564
164,574 DANSBURY DR,DANSBURY DR,5,Lexington,43.493197018,-80.490624903
165,576 DANSBURY DR,DANSBURY DR,5,Lexington,43.49311291,-80.490683616
166,578 DANSBURY DR,DANSBURY DR,5,Lexington,43.493065545,-80.490743876
167,580 DANSBURY DR,DANSBURY DR,5,Lexington,43.4930153010001,-80.490824814
168,661 MEADOWSWEET AVE,MEADOWSWEET AVE,2,Columbia Hills,43.471587743,-80.60329494
169,663 MEADOWSWEET AVE,MEADOWSWEET AVE,2,Columbia Hills,43.471550908,-80.603466957
170,543 CHABLIS DR,CHABLIS DR,2,Clair Hills,43.4496726990001,-80.574339674
171,545 CHABLIS DR,CHABLIS DR,2,Clair Hills,43.449672391,-80.574256927
172,547 CHABLIS DR,CHABLIS DR,2,Clair Hills,43.449676787,-80.5741249449999
173,540 WOOLGRASS AVE,WOOLGRASS AVE,2,Columbia Hills,43.471662973,-80.601198083
174,829 LAURELWOOD DR,LAURELWOOD DR,2,Columbia Hills,43.4720584900001,-80.601780123
175,437 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.505460402,-80.501969249
176,451 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5046072640001,-80.502510538
177,464 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.504268327,-80.503605124
178,458 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.504458142,-80.5033364929999
179,502 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.456683764,-80.5717037969999
180,506 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.4567913160001,-80.5713782
181,508 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.456849865,-80.571191388
182,510 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.456916947,-80.570999448
183,512 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.457032466,-80.5708296609999
184,514 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.4572179030001,-80.5707913909999
185,640 SALZBURG DR,SALZBURG DR,2,Columbia Hills,43.462232499,-80.58391807
186,627 SALZBURG DR,SALZBURG DR,2,Columbia Hills,43.461456302,-80.584129275
187,633 SALZBURG DR,SALZBURG DR,2,Columbia Hills,43.4616746730001,-80.584290155
188,429 CABOT TRAIL,CABOT TRAIL,4,Eastbridge,43.5058605290001,-80.502273864
189,158 ROGER ST,ROGER ST,7,Central,43.4634543240001,-80.5064352209999
190,139 BRIGHTON ST 11A,BRIGHTON ST,7,Central,43.4708153670001,-80.519148932
191,645 LAURELWOOD DR,LAURELWOOD DR,2,Columbia Hills,43.470605989,-80.59300812
192,617 COLBY DR,COLBY DR,4,Conestoga,43.5068858000001,-80.544196051
193,516 WOOD NETTLE WAY,WOOD NETTLE WAY,2,Columbia Hills,43.4726607860001,-80.604122452
194,562 WINDJAMMER WAY,WINDJAMMER WAY,4,Eastbridge,43.507329251,-80.503296623
195,727 CEDAR BEND DR,CEDAR BEND DR,2,Laurelwood,43.474704156,-80.589910248
196,700 HOLLY VIEW PL,HOLLY VIEW PL,2,Laurelwood,43.4729060220001,-80.586553099
197,316 AUBURN DR,AUBURN DR,5,Lexington,43.493870477,-80.493633215
198,545 WESTFIELD DR,WESTFIELD DR,1,Westvale,43.445110227,-80.564161871
199,225 BENJAMIN RD 84,BENJAMIN RD,3,Lakeshore North,43.503411741,-80.559015174
200,131 PINEBROOK PL,PINEBROOK PL,3,Lakeshore North,43.4961709,-80.562705932
201,225 BENJAMIN RD 83,BENJAMIN RD,3,Lakeshore North,43.503364403,-80.558991269
202,118 DEERBERRY PL,DEERBERRY PL,3,Lakeshore North,43.493410614,-80.562083244
203,645 MONARCH PL,MONARCH PL,3,Lakeshore North,43.4981871250001,-80.560155729
204,225 BENJAMIN RD 69,BENJAMIN RD,3,Lakeshore North,43.5029755240001,-80.5599221749999
205,560 WINDJAMMER WAY,WINDJAMMER WAY,4,Eastbridge,43.5072893030001,-80.503428083
206,318 SKYVIEW PL,SKYVIEW PL,3,Lakeshore North,43.499530737,-80.5564726
207,319 WHITE ROCK CRES,WHITE ROCK CRES,3,Lakeshore North,43.49988289,-80.5570943399999
208,630 BLACK FOREST PL,BLACK FOREST PL,3,Lakeshore North,43.502370872,-80.5569709929999
209,632 BLACK FOREST PL,BLACK FOREST PL,3,Lakeshore North,43.5025780180001,-80.556994263
210,759 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4626952350001,-80.590116666
211,763 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4625816130001,-80.590220654
212,767 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4624691450001,-80.5903203079999
213,787 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4619653350001,-80.590743018
214,791 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4618628530001,-80.5908402539999
215,501 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.456991923,-80.572120895
216,516 YORKSHIRE DR,YORKSHIRE DR,1,Beechwood West,43.4573726290001,-80.572145281
217,554 BUCKINGHAM BLVD,BUCKINGHAM BLVD,1,Beechwood West,43.458022973,-80.5746445139999
218,520 MUSTANG PL,MUSTANG PL,5,Lexington,43.4988691550001,-80.493070976
219,524 MUSTANG PL,MUSTANG PL,5,Lexington,43.4987760330001,-80.492965627
220,528 MUSTANG PL,MUSTANG PL,5,Lexington,43.4986770850001,-80.492906589
221,532 MUSTANG PL,MUSTANG PL,5,Lexington,43.498587752,-80.492843264
222,552 MUSTANG PL,MUSTANG PL,5,Lexington,43.498013739,-80.4927844919999
223,518 MOUNTBATTEN AVE,MOUNTBATTEN AVE,1,Beechwood West,43.457240411,-80.5733893299999
224,520 MOUNTBATTEN AVE,MOUNTBATTEN AVE,1,Beechwood West,43.4573788590001,-80.573185888
225,801 COLUMBIA FOREST CRT,COLUMBIA FOREST CRT,2,Columbia Hills,43.4616203940001,-80.591360815
226,522 MOUNTBATTEN AVE,MOUNTBATTEN AVE,1,Beechwood West,43.4575517810001,-80.573220518
227,719 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4630728110001,-80.58841868
228,747 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.462938755,-80.5897268579999
229,751 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4628719730001,-80.5898857879999
230,755 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4627898680001,-80.5899904299999
231,550 WINDJAMMER WAY,WINDJAMMER WAY,4,Eastbridge,43.507012139,-80.504005971
232,547 MUSTANG PL,MUSTANG PL,5,Lexington,43.4979918930001,-80.4935031909999
233,543 MUSTANG PL,MUSTANG PL,5,Lexington,43.4981026460001,-80.493605175
234,539 MUSTANG PL,MUSTANG PL,5,Lexington,43.4982025460001,-80.4936551769999
235,925 ERB ST W,ERB ST W,1,West Hill,43.442789159,-80.5765895759999
236,626 WILD GINGER AVE,WILD GINGER AVE,2,Columbia Hills,43.4700626700001,-80.592520818
237,535 MUSTANG PL,MUSTANG PL,5,Lexington,43.498287944,-80.49366374
238,519 MUSTANG PL,MUSTANG PL,5,Lexington,43.4985324780001,-80.493638443
239,511 MUSTANG PL,MUSTANG PL,5,Lexington,43.4986251710001,-80.493748991
240,550 ROCK POINT CRES,ROCK POINT CRES,3,Conservation Meadows,43.4943810720001,-80.577312282
241,551 ROCK POINT CRES,ROCK POINT CRES,3,Conservation Meadows,43.494085666,-80.577879694
242,551 SANDBANKS CRES,SANDBANKS CRES,3,Conservation Meadows,43.4955806290001,-80.5794378579999
243,511 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.4953748990001,-80.578807132
244,515 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.495264676,-80.578730719
245,519 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.495135142,-80.578643309
246,539 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.4946119250001,-80.5782343389999
247,544 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.4947232320001,-80.577579154
248,536 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.4949493460001,-80.577730204
249,528 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.4951722170001,-80.577880289
250,524 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.4952821680001,-80.5779555889999
251,520 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.495370339,-80.578034009
252,512 GLACIER ST,GLACIER ST,3,Conservation Meadows,43.495591313,-80.5782073619999
253,510 SANDBANKS CRES,SANDBANKS CRES,3,Conservation Meadows,43.4963551820001,-80.578632104
254,655 BASSWOOD ST,BASSWOOD ST,2,Columbia Hills,43.4656999170001,-80.5863163069999
255,518 YORKSHIRE DR,YORKSHIRE DR,1,Beechwood West,43.457510115,-80.5721907879999
256,519 YORKSHIRE DR,YORKSHIRE DR,1,Beechwood West,43.457509712,-80.572805368
257,505 YORKSHIRE DR,YORKSHIRE DR,1,Beechwood West,43.45663269,-80.5725408449999
258,675 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.463579081,-80.586933164
259,679 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.463529212,-80.587061821
260,207A AUBURN DR,AUBURN DR,5,Lexington,43.487587105,-80.4867413599999
261,106B LILLIAN DR,LILLIAN DR,5,Willowdale,43.4784521280001,-80.498347829
262,104B LILLIAN DR,LILLIAN DR,5,Willowdale,43.478298764,-80.498274873
263,699 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.463284963,-80.5877963
264,715 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.463120265,-80.5882938729999
265,517 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.506503561,-80.50065098
266,515 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.5064193870001,-80.500737032
267,511 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.506335027,-80.5008839499999
268,509 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.506275347,-80.501011736
269,570 WINDJAMMER WAY,WINDJAMMER WAY,4,Eastbridge,43.5075710030001,-80.502796586
270,34 NORMAN ST,NORMAN ST,7,Central,43.4603857280001,-80.5217103639999
271,44 NORMAN ST,NORMAN ST,7,Central,43.460088349,-80.522041519
272,67 FREEMONT ST,FREEMONT ST,7,Central,43.4596729350001,-80.520675911
273,628 GASPE DR,GASPE DR,4,Eastbridge,43.510427017,-80.4991748739999
274,627 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.464152143,-80.585298204
275,619 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4642689360001,-80.585076741
276,615 COLUMBIA FOREST BLVD,COLUMBIA FOREST BLVD,2,Columbia Hills,43.4643339900001,-80.58498902
277,611 WHITE ELM BLVD,WHITE ELM BLVD,2,Columbia Hills,43.465830818,-80.58658998
278,470 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.5061732360001,-80.502705753
279,16 EUCLID AVE,EUCLID AVE,7,Central,43.462621348,-80.526872747
280,18 EUCLID AVE,EUCLID AVE,7,Central,43.4625575480001,-80.5268078299999
281,22 EUCLID AVE,EUCLID AVE,7,Central,43.462400754,-80.526660055
282,24 EUCLID AVE,EUCLID AVE,7,Central,43.4623529130001,-80.526613186
